;Key;annee;cluster
0;Alvin Gentry;2020;3
1;Alvin Gentry;2022;3
2;Billy Donovan;2020;1
3;Billy Donovan;2021;0
4;Billy Donovan;2022;0
5;Brad Stevens;2020;4
6;Brad Stevens;2021;4
7;Brett Brown;2020;4
8;Chauncey Billups;2022;0
9;Chris Finch;2021;3
10;Chris Finch;2022;0
11;Doc Rivers;2020;4
12;Doc Rivers;2021;0
13;Doc Rivers;2022;0
14;Dwane Casey;2020;4
15;Dwane Casey;2021;0
16;Dwane Casey;2022;0
17;Erik Spoelstra;2020;4
18;Erik Spoelstra;2021;2
19;Erik Spoelstra;2022;2
20;Frank Vogel;2020;4
21;Frank Vogel;2021;2
22;Frank Vogel;2022;0
23;Gregg Popovich;2020;1
24;Gregg Popovich;2021;0
25;Gregg Popovich;2022;3
26;Ime Udoka;2022;2
27;J.B. Bickerstaff;2020;4
28;J.B. Bickerstaff;2021;0
29;J.B. Bickerstaff;2022;2
30;Jacque Vaughn;2020;1
31;Jamahl Mosley;2022;0
32;James Borrego;2020;4
33;James Borrego;2021;0
34;James Borrego;2022;0
35;Jason Kidd;2022;2
36;Jim Boylen;2020;4
37;Lloyd Pierce;2020;3
38;Luke Walton;2020;0
39;Luke Walton;2021;3
40;Mark Daigneault;2021;3
41;Mark Daigneault;2022;2
42;Michael Malone;2020;4
43;Michael Malone;2021;2
44;Michael Malone;2022;2
45;Mike Budenholzer;2020;1
46;Mike Budenholzer;2021;3
47;Mike Budenholzer;2022;0
48;Mike D'Antoni;2020;1
49;Mike Miller;2020;4
50;Monty Williams;2020;1
51;Monty Williams;2021;2
52;Monty Williams;2022;0
53;Nate Bjorkgren;2021;3
54;Nate McMillan;2020;1
55;Nate McMillan;2021;4
56;Nate McMillan;2022;0
57;Nick Nurse;2020;4
58;Nick Nurse;2021;0
59;Nick Nurse;2022;0
60;Quin Snyder;2020;1
61;Quin Snyder;2021;2
62;Quin Snyder;2022;2
63;Rick Carlisle;2020;1
64;Rick Carlisle;2021;0
65;Rick Carlisle;2022;0
66;Ryan Saunders;2020;1
67;Scott Brooks;2020;3
68;Scott Brooks;2021;3
69;Stan Van Gundy;2021;0
70;Stephen Silas;2021;0
71;Stephen Silas;2022;3
72;Steve Clifford;2020;4
73;Steve Clifford;2021;0
74;Steve Kerr;2020;4
75;Steve Kerr;2021;0
76;Steve Kerr;2022;2
77;Steve Nash;2021;4
78;Steve Nash;2022;0
79;Taylor Jenkins;2020;1
80;Taylor Jenkins;2021;0
81;Taylor Jenkins;2022;2
82;Terry Stotts;2020;3
83;Terry Stotts;2021;0
84;Tom Thibodeau;2021;2
