;tourney_id;win;ace;age;nb_set;ht;name;surface;tourney_level;classe;minutes;advers;count
0;2013-W-WT-TUR-01A-2013;0.0;3.0;25.7577002053;3;173.0;Angelique Kerber;Hard;F;True;127.0;Petra Kvitova;10
1;2016-1051;1.0;1.0;28.249144421599997;3;173.0;Angelique Kerber;Clay;P;True;123.0;Petra Kvitova;10
2;2016-560;1.0;0.0;28.6132785763;2;173.0;Angelique Kerber;Hard;G;True;87.0;Petra Kvitova;10
3;2016-1075;0.0;0.0;28.689938398400002;3;173.0;Angelique Kerber;Hard;I;True;199.0;Petra Kvitova;10
4;2018-1051;1.0;0.0;30.2614647502;2;173.0;Angelique Kerber;Clay;P;False;77.0;Petra Kvitova;10
5;2018-W-FC-2018-WG-M-GER-CZE-01;0.0;3.0;30.2559890486;2;173.0;Angelique Kerber;Clay;D;False;58.0;Petra Kvitova;10
6;2019-M001;0.0;0.0;30.970568104;2;173.0;Angelique Kerber;Hard;P;True;83.0;Petra Kvitova;10
7;2021-2017;1.0;2.0;33.4236824093;3;173.0;Angelique Kerber;Grass;W;True;124.0;Petra Kvitova;10
8;2021-1017;1.0;1.0;33.5770020534;2;173.0;Angelique Kerber;Hard;P;False;78.0;Petra Kvitova;10
9;2021-1038;0.0;3.0;33.2785763176;2;173.0;Angelique Kerber;Clay;P;False;82.0;Petra Kvitova;10
10;2016-0806;1.0;4.0;28.517453798800002;3;173.0;Angelique Kerber;Hard;P;True;135.0;Elina Svitolina;10
11;2016-M001;1.0;1.0;27.980835044499997;3;173.0;Angelique Kerber;Hard;P;True;117.0;Elina Svitolina;10
12;2016-M015;0.0;1.0;28.709103353899998;2;173.0;Angelique Kerber;Hard;P;True;89.0;Elina Svitolina;10
13;2017-0718;0.0;0.0;29.092402464099997;2;173.0;Angelique Kerber;Hard;P;True;100.0;Elina Svitolina;10
14;2017-M020;0.0;1.0;28.958247775500002;3;173.0;Angelique Kerber;Hard;I;True;117.0;Elina Svitolina;10
15;2017-W-FC-2017-WG-PO-GER-UKR-01;0.0;0.0;29.2594113621;2;173.0;Angelique Kerber;Clay;D;False;80.0;Elina Svitolina;10
16;2018-0718;0.0;1.0;30.0889801506;2;173.0;Angelique Kerber;Hard;P;True;85.0;Elina Svitolina;10
17;2018-M009;0.0;5.0;30.3189596167;2;173.0;Angelique Kerber;Clay;P;True;86.0;Elina Svitolina;10
